cluster,size,cx,cy,targetid,tileid,fiber
0,557,6.9010744,12.282615,39633035431251040,3322,4923
1,565,7.2108154,13.914999,39627782224873960,20088,2877
2,526,17.787334,6.091462,39627811882798641,40,2316
3,542,15.748184,5.6622863,39627757910495271,25289,3416
4,537,14.324027,5.9821215,39627653094835347,10310,2574
5,574,7.5828743,15.417494,39633248313148584,23791,1961
6,566,11.184977,6.59765,2781183427477506,21804,871
7,551,8.00032,16.95509,39628383864226139,1328,1110
8,511,17.776455,20.788069,39627908947379353,155,1568
9,572,9.515335,7.621176,39627703615230578,8826,3775
10,566,7.314564,10.4694605,39627746011250803,20088,4272
11,495,19.762457,19.874525,39628348736932445,5141,140
12,531,10.392227,19.675508,39628350674701638,22926,457
13,552,12.301335,20.66661,39627811920548355,23598,3630
14,572,12.689039,6.0950847,43978275952791864,80980,4005
15,547,9.166642,18.448845,39633497719047058,24455,1368
16,474,16.251871,21.182306,39627881118176173,25961,4407
17,499,22.884789,14.638477,39633493747042829,80784,4184
18,487,14.140341,21.294588,39627685638439730,20083,1742
19,572,8.342805,9.102877,39628063092245961,11757,1913
20,512,22.831648,12.1067915,39628175952579295,8357,4584
21,532,18.99492,7.161298,39628075079565880,10238,3424
22,544,8.623836,13.058467,39633453808878207,4159,3459
23,499,20.393425,7.887441,39633266604510341,27226,3354
24,561,21.480457,9.269453,39627515517471696,26145,2499
25,493,22.145136,13.39112,39627802340757480,20825,4623
26,563,21.675518,15.73339,39628361424700627,21387,914
27,477,22.063389,16.77967,39633248166348816,22191,3881
28,479,19.588285,18.48615,39627881369832965,10100,4730
29,469,20.815235,17.110342,39633203207604614,5111,3908
30,563,9.809626,17.078882,39628277991605249,26101,646
31,479,21.077816,18.452188,39628123624441504,5933,2327
32,487,22.023914,10.782614,39627718861527506,22232,1544
33,598,11.184344,8.222083,39628183951115086,24382,4918
34,547,9.336207,15.770211,39628354231471807,21018,1302
35,517,9.002102,14.57653,39628013159055834,25928,1072
36,562,10.064671,9.42163,39627610342298197,2742,4211
37,478,18.407362,19.375998,39633034319760535,7616,2475
38,530,8.595637,11.656762,39628199075776339,21141,1889
39,507,11.909481,19.24528,39627752017494079,23254,4763
40,519,15.37976,20.155958,39632966405590480,203,1129
41,547,12.545518,8.105113,39628199079970401,21141,1594
42,482,10.901716,18.188187,39628425073264448,3578,2965
43,498,19.164246,8.70204,39633108697350916,6060,2553
44,587,13.736132,7.5371976,39627908246934338,10857,4280
45,503,16.664572,7.0708113,39627752042662556,20088,4411
46,508,11.177176,16.987728,2305843036766088895,79,4202
47,508,13.099116,18.97198,39628334119782466,5489,4186
48,477,16.221449,19.123713,39633528220026303,20067,4660
49,492,17.17414,19.458035,39627479102524975,24867,4124
50,490,20.141926,9.65812,39632971988206260,1911,4972
51,529,13.923134,19.864723,39628143320891851,11612,3044
52,518,9.534534,10.635561,39628033765671433,2525,1999
53,513,21.36696,14.429376,39089837415860060,83023,3828
54,569,17.691275,7.945775,39633435433632764,22210,2794
55,500,20.696218,10.828603,39627398102130693,7129,8
56,519,15.324942,7.475529,39089837503939783,83322,4945
57,529,19.657179,17.362616,2781092398497807,23085,3736
58,464,12.273078,17.803593,39628322744832657,22940,2354
59,472,11.376861,9.461927,39633328139145797,20965,4779
60,555,9.923574,12.200237,39633224443364130,20660,4752
61,555,10.724694,15.812998,39633465250939710,24479,1601
62,538,10.53084,14.696481,39628132327621828,3278,3512
63,500,13.628818,8.995077,39627485612088506,4829,2073
64,490,12.633648,9.48506,39633413514202230,82,1907
65,474,9.856535,13.702569,39628403497766822,22578,3577
66,514,20.29446,16.18662,39627753917518132,6533,4231
67,516,15.013581,18.829317,39633024987434497,22190,239
68,487,18.442787,18.222103,39633413510006029,82,1994
69,561,10.74568,11.229965,39633279481021076,20897,3558
70,517,18.965202,10.017117,39633290042278680,182,1941
71,505,21.345427,12.261799,39627973996838990,24655,1612
72,474,14.658052,8.436214,2305843028054513804,40383,3430
73,490,15.562325,9.284201,39628130133999889,4536,4725
74,447,14.720814,9.758243,39633212560901629,25876,4089
75,472,13.945472,10.220295,39628081010313645,26103,4131
76,478,14.01314,18.292515,39628001515668080,3615,801
77,511,18.046534,9.144108,39627586237628878,23271,3080
78,549,20.341192,11.994875,39633119149559238,25590,4750
79,478,17.32171,18.338644,39632981068874471,21169,1056
80,454,11.7177305,14.47417,39627950299025238,22044,3972
81,449,11.671947,13.679839,39632941524976528,9546,2409
82,571,12.964129,10.543299,39627461410948185,23688,4274
83,497,12.362339,16.604692,39627784129090524,1823,3339
84,491,13.299504,17.482225,39628323713716028,6791,1125
85,515,16.984846,9.2368965,39628003717679870,26106,4026
86,448,16.316463,8.321803,39627755091926799,25371,2881
87,513,15.976429,18.142365,2715753732112386,3732,3988
88,498,10.816926,13.006983,39089837503940824,83322,4972
89,467,20.860155,13.384401,39633157842010869,3755,4628
90,487,13.490349,15.570831,39632940505761668,1333,4967
91,443,13.303358,16.257187,2305843013269606267,42980,1271
92,463,20.497076,15.2572775,39633521181983380,22853,1229
93,470,11.510377,10.533506,39632961506642108,25918,1821
94,482,11.75038,15.715848,39632976081848066,6871,4068
95,522,12.408457,11.444431,2305843041057025191,40653,323
96,527,11.5898075,12.148335,39628501317323922,21897,1400
97,1611,13.697124,11.918448,39633029068490267,1382,1072
98,520,15.487342,17.233631,39628356718691658,25199,4488
99,521,14.652738,17.574167,39628081673013041,6146,582
100,507,12.566521,15.038649,39627943835602738,21546,2489
101,476,19.573397,10.91781,39637094250844921,24410,4155
102,515,17.496994,17.256496,39628199327435062,2789,2071
103,548,16.62901,17.448236,39627989738067370,24164,3407
104,518,12.961102,13.630326,39628221494333223,23639,4511
105,488,12.464423,12.810959,39628403036394911,23453,1796
106,540,13.307192,14.467643,39628129827820279,4361,4975
107,440,18.274975,10.964444,39627901871592202,21515,1631
108,432,17.846607,10.266424,39633402550291067,21643,1859
109,463,16.429443,10.170857,39633215949899434,21954,4187
110,448,15.712573,10.612062,39628290457076488,6808,3569
111,434,15.010916,11.096363,39633199290124983,22490,2947
112,563,18.952904,11.633963,39627956569506339,7717,3754
113,521,18.27892,16.47168,39628284668937933,21113,1897
114,456,18.644484,17.09372,39628040132629407,23573,2534
115,477,19.53284,12.401147,39627847647626161,8,3315
116,445,19.942577,13.175181,39628107707056863,25556,3835
117,480,19.287762,16.155,39627666650824829,10379,3491
118,547,14.209009,16.678368,39627929163926465,9659,3385
119,592,19.482428,13.989319,39633300670646031,20648,513
120,494,20.095968,14.529345,39633453481724520,23143,652
121,525,17.018248,10.830618,39628203928588514,5543,3252
122,18958,16.43815,14.044376,39627427252537485,24564,985
123,559,19.195942,15.327545,39627965255911000,10087,1751
