cluster,size,cx,cy,targetid,tileid,fiber
0,590,28.486284,16.999369,39628324942650861,6135,4979
1,562,12.935533,22.909111,39628283515504902,21355,3940
2,566,22.255388,25.161974,39633483907206639,20511,1928
3,577,24.03192,24.249786,39627799861924160,67,1727
4,558,10.634475,16.039568,39627603992120088,1161,3063
5,591,19.925674,25.327982,2785406240161793,23622,1575
6,590,11.293781,19.419502,39627833722540761,7928,3488
7,579,25.248276,23.063177,2305843029291840560,42007,3298
8,592,18.148407,25.646162,2305843034937391345,42414,1963
9,585,27.409988,20.44388,39633414130762689,564,1491
10,578,26.669199,22.088657,2305843018441168132,40464,813
11,559,15.053115,8.72377,39633274368167795,25638,3024
12,593,14.749824,24.367916,2305843032576021269,41501,4837
13,577,10.177141,17.963337,39633414122373318,23161,1102
14,554,21.014751,8.099504,2305843029614797380,42613,3620
15,585,16.17603,23.270988,39632966267176408,2161,4589
16,579,16.906229,24.605783,2305843027958040856,41701,2293
17,556,17.149559,8.352622,39628455209338180,23376,585
18,574,11.660925,12.655335,2305843037722391916,43026,330
19,544,28.217983,15.187364,39632960902663338,23527,1895
20,567,24.58296,9.33904,2305843040805201240,40652,2222
21,558,14.7383585,22.629076,39628338049844378,25507,896
22,543,11.050429,14.280955,2305843023197532713,40844,1544
23,555,28.165903,18.837357,39633285298524755,20949,4624
24,556,11.781472,21.2499,2305843031552588739,42854,1717
25,543,13.62066,21.385033,2305843017229014100,80790,2782
26,571,12.636948,10.991072,2305843018751545224,42533,429
27,558,27.062336,11.836977,39628245938733541,21996,2892
28,569,22.635126,23.348955,2305843017694587016,42640,1803
29,562,25.803326,10.669891,39627854832470112,1103,4554
30,559,12.933162,19.984219,2305843020588654258,42513,250
31,549,12.367531,15.871795,2305843015622592863,41614,2464
32,556,22.794022,8.735081,39627509586723778,26145,1675
33,559,18.048424,9.866993,39627640436427024,25409,486
34,576,11.829305,17.479874,39628346669138780,23342,523
35,558,20.99389,24.168518,2305843032387297255,41260,3702
36,543,18.97256,7.743648,39627800319099559,24809,1945
37,551,21.041016,9.770885,39633494132917647,80962,2622
38,552,14.304252,10.198755,2305843018558604631,40465,3650
39,562,18.610605,23.86379,39627835387676685,21518,4662
40,541,26.799294,17.782814,39627859517507830,5665,4892
41,550,27.529222,13.541523,2305843014733398342,40965,2779
42,572,12.915368,18.534365,39628340474154720,11602,4702
43,571,19.527634,9.199613,39628362737518873,25806,622
44,537,26.878454,16.292469,39627778319982146,25569,1509
45,557,16.341227,9.854326,2305843041975415381,40020,1293
46,539,25.973179,13.105519,39627627929012523,20545,2568
47,573,25.762377,20.55639,2781596792913928,25717,2902
48,579,15.616467,11.188469,39627816047740198,23465,2700
49,545,26.604912,14.797515,39627953885151630,11412,3954
50,566,16.433605,21.849117,39628506979635644,11574,603
51,549,19.87377,23.264791,2305843021733699701,41669,3448
52,553,25.01268,11.967017,39627715212479257,1276,4957
53,569,17.640059,22.868885,2305843031980385705,41250,4595
54,537,26.457407,19.110767,39627634996417951,2487,4150
55,562,12.708528,14.541618,2305843011533150281,41965,1750
56,537,14.239481,18.786198,2305843023491141674,40826,37
57,542,14.397452,19.98911,2305843010803358030,42442,3761
58,567,14.056207,14.708643,2305843023046812135,40160,2189
59,520,13.942594,15.97343,2305843017816224961,40237,2467
60,536,13.199104,17.05253,39628193073730018,25785,4477
61,525,24.744394,21.475039,39633381780100050,23650,1643
62,548,13.207235,13.019126,39628439602332974,11283,3928
63,537,22.522278,10.204092,1071082203250693,344,3117
64,536,23.908836,10.820721,39633286963659578,9727,3496
65,538,17.191954,10.981188,39627788403082970,245,2241
66,550,18.76655,11.405765,39089837508140757,83330,4150
67,536,19.4881,10.517749,2305843019296809618,41907,4017
68,564,22.181938,21.786749,39627676478083377,21748,1608
69,547,23.20083,21.118113,39627622472227133,80633,3404
70,558,23.680992,22.40266,39633228587337227,22220,3832
71,546,14.112649,11.8622675,1070672348446722,503,4537
72,522,21.675997,11.257716,39633231699514029,20937,4467
73,496,20.555147,11.147665,2305843032576001614,41501,4861
74,582,25.027678,19.293804,2305843036514422880,40261,2800
75,561,24.17769,20.252499,39627746254520955,24792,2621
76,549,16.620554,12.26315,2305843036900302120,42396,507
77,525,21.363104,22.774126,2305843032466997813,41293,259
78,545,25.345772,18.088903,39628086840398034,21407,1574
79,530,25.624485,16.823671,39628353887539362,25025,3497
80,528,20.443104,21.970772,39633348594761748,22526,448
81,543,17.048435,20.655394,39627694719111835,23831,1186
82,525,17.849957,21.5554,2305843031644850992,42854,1887
83,545,15.176733,21.271278,39627933131740429,23250,4760
84,522,15.753336,19.17847,39633191354501426,20631,1377
85,547,15.915328,20.254972,2305843040805422026,40652,2259
86,524,15.17894,15.521893,39627893210350839,22836,3632
87,522,17.889082,12.1376915,39636714305622489,4823,4919
88,539,14.522233,13.56612,39633076577372082,23513,3574
89,556,14.371987,17.400785,39633427422513715,22210,3270
90,551,25.309168,14.375199,2305843033221924420,40932,304
