cluster,size,cx,cy,targetid,tileid,fiber
0,610,11.995599,25.096655,39627509251183481,25394,2417
1,577,28.03419,26.858677,2389570792456196,24786,1218
2,593,10.840048,29.145044,2305843022102837809,42021,4300
3,600,28.563978,29.042686,1070126614970375,532,2860
4,589,11.100145,27.2727,39089837495569372,83286,3481
5,585,28.811548,32.44577,39627755033202891,23842,4905
6,595,26.747906,25.206894,2305843034429917988,42426,217
7,565,21.880978,39.19808,39633095996998014,23905,3673
8,569,19.30853,39.537262,39089837503939325,83320,413
9,586,24.164337,22.59743,39633152364253981,24274,4982
10,556,11.823098,34.364014,39627707180385993,27737,1675
11,540,11.395936,32.513924,39628273197514950,22651,1512
12,570,11.1533785,30.924644,39633286347097721,175,1636
13,584,14.737191,37.04463,39628186769689062,1465,4281
14,586,17.487337,38.620922,39633538164720949,24744,1218
15,573,16.990051,21.922138,39633182882008399,21944,3020
16,561,13.00856,36.281647,39633104092007927,80653,3496
17,584,25.600409,23.842571,2305843038087286217,41147,4975
18,564,23.673302,38.381374,2305843017614894539,42656,1956
19,602,22.259445,21.92811,39628090661405248,6763,1793
20,571,16.37019,23.720377,2305843038112454835,43030,701
21,579,15.040203,22.544523,39633476688807436,21348,2093
22,555,13.589728,23.908741,39627712599430769,20189,1761
23,565,15.610073,38.630917,39627992648909512,8376,3029
24,581,18.742838,21.800533,39628295720929815,5223,3771
25,563,20.42045,21.439098,39633505855999355,20038,1443
26,570,26.608238,36.13246,2305843024455988922,42339,4664
27,558,13.929034,25.578646,2305843037617528351,41106,4646
28,563,28.05529,30.815046,39628443381401634,10705,1457
29,563,22.51119,23.518389,39628249604556965,21395,24
30,565,27.670057,34.377254,2305843037940490051,41161,4597
31,560,13.526841,34.67596,2305843034392140725,41520,4315
32,564,25.17025,37.31121,39627876114369828,20681,2632
33,574,12.7808895,26.872072,39627624921699540,21845,1593
34,569,23.892752,24.39046,39633303636019618,24067,4326
35,556,19.25548,23.367561,2305843024405530534,42137,2186
36,565,20.671343,23.106798,39627817847095554,4612,3536
37,558,17.834944,23.540962,39633425384081882,26799,883
38,568,12.922586,32.896152,2305843029010818136,42589,4829
39,538,15.147728,24.62824,39627712607822286,20189,1839
40,562,12.641666,28.50205,39628417150226613,121,68
41,536,12.9583235,31.262695,2305843039114893922,42542,4245
42,565,27.011612,28.41696,2305843013290597631,43005,430
43,570,20.464476,38.30663,2305843019443615898,41880,614
44,561,12.583553,29.943182,39633285336268851,9749,4963
45,558,24.672812,35.813587,39633519529428754,24419,189
46,553,26.303005,26.901812,2305843041979616131,40059,2569
47,550,22.243042,37.50046,39628313144068795,24905,1978
48,516,27.197136,32.564884,2305843021586900764,40109,2561
49,574,15.393038,26.280434,2305843022677619992,40183,2499
50,552,14.873804,35.549873,39628073032748830,24150,3049
51,512,26.768417,29.944109,2305843030982251773,41244,2988
52,543,26.235924,33.513283,39627619649458231,20107,4601
53,552,18.930805,37.7835,39633451346825105,425,1107
54,581,25.749159,34.74441,2305843042894083103,40340,63
55,555,24.955288,25.523767,39628149419409836,21013,615
56,533,26.54014,31.335611,39633030024793521,8413,4687
57,561,16.38225,25.352251,39627752415954122,10478,4750
58,554,16.337538,37.05025,39633020075902645,7877,1104
59,537,21.374435,24.38929,2305843034182482657,41475,810
60,550,22.518843,25.050741,39633011150422936,22297,3975
61,546,17.649197,24.97513,39633188011642315,22341,872
62,545,15.282133,34.302998,2305843012942481913,42978,1054
63,533,18.954184,24.892454,2305843015421266558,40986,4063
64,532,20.155537,24.66573,39627670195013167,24846,1812
65,549,25.502579,32.25717,2305843019091299866,41894,3732
66,532,25.53766,29.59452,39089837508142294,83334,4218
67,537,14.147549,27.124487,2305843037793685693,43057,940
68,536,24.977701,26.87276,39628081391998252,9288,4501
69,525,24.522268,28.132622,39628273193322437,22651,1518
70,530,25.610556,28.384989,39633430824096235,26799,4068
71,508,15.208455,29.2099,39628250598607678,22638,1797
72,527,14.102987,28.51311,39627763648299996,9941,3049
73,557,18.524513,26.105625,39628444845212655,20410,3042
74,497,22.454155,35.996445,2305843042898487791,40340,239
75,529,23.531616,36.668842,39627507846091390,20296,605
76,532,13.964215,29.840015,39628011393259314,20211,4814
77,548,15.31131,27.72122,39627562229436394,23303,4603
78,534,14.130426,32.05305,39627615404821147,25564,2039
79,539,23.532791,25.91688,39627718395955028,10541,1139
80,548,14.271005,33.460735,2305843041082455297,40312,4807
81,541,17.577778,36.897163,2305843018562801331,40452,1261
82,529,16.228853,35.64039,39627838223026863,22393,2162
83,531,19.793137,36.58334,2305843015077334749,41609,565
84,530,25.3883,30.886171,39633236212581063,20599,1634
85,525,19.87138,25.95996,2305843009226278448,41689,3409
86,517,17.272888,26.303913,2305843033741995494,40889,826
87,535,16.57943,27.162947,39627682589183778,25409,3949
88,574,23.309504,35.09962,39627867272774619,20252,3883
89,511,17.401718,35.431587,39628499069174803,27335,100
90,528,18.576717,36.194687,2305843040775951503,40063,3020
91,514,20.951302,36.948154,2305843021700143947,41652,4392
92,538,18.493107,34.86732,39628229689999657,24768,136
93,531,19.464024,35.304955,2305843020185993265,42508,2147
94,532,14.541296,30.914082,2305843014024568483,40955,3998
95,530,21.097666,26.885122,39627972126180668,23838,1126
96,535,21.134884,25.747976,2785428230897664,25413,1952
97,513,20.497404,35.13128,39627721747205512,6293,4398
98,511,21.278955,35.855995,39627556856531002,22260,2703
99,567,15.651955,30.45362,39627658975248593,23005,986
100,522,24.872383,33.304825,39627609411162270,25564,2226
101,541,24.355597,34.41083,2305843023109468071,40217,1681
102,520,15.306516,32.753872,2305843035310673999,41554,741
103,536,24.280567,29.48571,2305843024816524878,42083,2940
104,503,24.222343,30.517437,39633140657947563,25892,1166
105,533,22.347437,26.384933,39628385609063586,1917,4847
106,501,23.863674,32.485786,2305843024816518797,42083,2510
107,540,24.337322,31.608555,39633030855262638,20886,2764
108,565,21.810484,34.778835,39632940665144316,6051,4834
109,553,16.364573,28.447601,39628284484388154,22651,1873
110,499,22.725466,34.10692,39628396161928427,23380,4872
111,519,23.497227,33.442795,39633179442677822,22340,879
112,520,16.359737,33.161884,2305843030558522197,42570,2140
113,545,15.66987,31.70973,2305843029363144849,42599,2548
114,540,18.973104,27.350698,2305843018369861172,40476,1250
115,537,17.525269,28.33786,39628072198082251,25557,3041
116,509,17.98119,27.382278,2305843012124589350,40726,1040
117,537,23.47323,28.805363,39628395490836498,3746,4016
118,514,17.48941,34.18626,2305843030894062979,41375,712
119,484,16.461908,34.20667,39627788155617323,24695,4640
120,505,16.45762,29.487879,39633005186123830,25044,255
121,532,22.982624,27.921186,2305843011357019923,42972,4587
122,496,23.776754,27.05812,39627738994182304,2559,3546
123,530,19.967169,27.121609,39627963108426616,20114,1175
124,24340,20.10149,31.197361,39628022185199594,22004,3395
125,504,22.078444,27.526243,39633118352639352,24306,4844
