cluster,size,cx,cy,targetid,tileid,fiber
0,589,7.261164,20.667189,39627945043560993,155,2914
1,584,7.8166337,24.467571,39628269846267286,22843,3709
2,562,8.434467,16.61751,39628451908422228,22356,801
3,584,13.319191,12.715831,39628100417357329,4351,4186
4,588,15.933024,12.318597,2305843022140605873,42038,2572
5,585,15.129205,30.253822,39628030607364358,11209,4989
6,570,10.620938,14.023333,39628345268244036,21404,1907
7,575,7.4567146,18.589254,39633501431006726,24425,4161
8,587,10.020095,15.688758,39627993001234698,24820,4854
9,594,13.412612,29.55745,2305843020395711980,42504,594
10,600,17.837822,12.674872,2305843018705414104,40482,3329
11,589,10.061087,27.944962,39627521142037462,22260,1085
12,564,20.296726,29.550076,39627715497689588,25273,3984
13,573,11.706386,29.188566,39628481146913233,21199,2230
14,583,8.531964,26.301495,39632966896320967,25450,4048
15,594,24.513662,17.856434,39628398045170356,25757,4720
16,562,22.075943,28.393095,39628005479289348,20220,4623
17,591,12.380688,14.404743,39628352323060421,21811,4680
18,567,17.067547,30.251911,2305843040725559931,42026,2831
19,568,25.094482,21.66344,2305843036636064574,41548,248
20,588,23.014565,15.922237,39627992334339427,23581,2205
21,582,7.545883,22.48381,2305843047797097640,41671,4362
22,555,19.908518,13.496821,39633052665644792,3532,3347
23,551,8.778885,19.920399,39628228565928371,23538,2680
24,571,25.053785,19.75254,2305843023843476469,40854,1487
25,599,18.583841,29.625809,2305843010157415480,41440,4305
26,576,24.856667,23.37586,39633472523863080,20016,961
27,559,10.298718,26.273745,39628256248335714,22668,1579
28,558,24.389505,25.320312,39627991663249852,11758,1566
29,572,21.887297,14.133901,39628433960996162,1244,3508
30,585,9.212057,23.278019,2305843011814183642,41947,1771
31,589,23.155346,26.760233,39632999804833238,25680,2130
32,564,14.875384,28.498579,2786337354678272,22332,31
33,567,14.866094,13.66751,39628048655451684,25545,594
34,554,10.309615,17.29839,39627741615624849,22394,1159
35,559,9.612744,24.67505,39628451904227796,22356,896
36,557,16.290144,28.799208,2305843020525737267,42500,2776
37,554,18.362978,14.280542,2305843010845334208,41814,3841
38,560,11.728378,15.856765,2305843021071000859,41922,1404
39,538,9.218139,18.33172,39633422469041492,20032,2833
40,561,23.626316,21.046959,39627800444930768,236,3018
41,553,21.140995,15.64382,2305843028754960842,41350,2009
42,557,22.916708,17.60429,2305843011847732849,41950,2189
43,531,13.626023,27.899483,39627741926003267,20856,1450
44,543,19.856556,15.155085,2305843037424584028,40569,83
45,561,13.9576025,14.760215,2305843015186388975,40949,1314
46,555,16.565298,14.018797,39632931714501226,20914,2985
47,564,11.020913,24.88265,2305843043355336983,42123,2875
48,568,13.271406,15.969495,2305843041262563463,40307,3755
49,548,9.030832,21.782211,39633325840662981,25469,2892
50,542,15.607694,15.143277,39628110223641975,23707,3005
51,542,10.561989,22.30345,2305843033096065010,42879,4386
52,562,11.94119,27.621328,2305843023436646710,40836,2692
53,546,10.220969,19.390345,39627920511076035,10814,1121
54,549,17.177376,15.253092,39633048492313493,20343,1849
55,545,20.504957,27.894222,39627670853520946,22254,3424
56,536,23.393684,22.659586,39627749144398666,22234,1466
57,550,11.731067,26.080986,39632970935436509,22182,4590
58,529,23.540726,19.594843,39627479538736403,23321,1094
59,557,22.264086,20.417828,39633408451675587,555,827
60,542,14.754235,16.044428,2305843037374263841,43061,3728
61,536,10.005001,20.816187,39627961959190068,21535,4744
62,551,19.741844,16.622683,39633312154651129,23876,4260
63,538,19.112337,28.046022,39627682069088788,22117,1385
64,553,21.474466,26.720688,2305843036841577910,42391,2157
65,550,10.775007,23.503437,39628227181808216,25172,1889
66,550,21.461267,16.89299,39628090346832856,22793,4153
67,528,11.7169485,17.200542,2305843033716829669,40901,1781
68,551,23.262247,24.164593,2305843015052169998,41635,1092
69,554,14.843632,26.995249,39633190888931526,8201,2110
70,535,12.118677,22.01757,39089837394915663,82642,2453
71,529,11.224906,21.1929,39628378004784441,7070,4995
72,546,18.592285,15.762659,39627989503184168,21058,1017
73,544,11.225552,18.634743,39628261247945363,6204,1447
74,534,13.085895,17.200188,39633104251389910,4533,3718
75,513,16.020145,27.380306,39627624993000923,24982,3618
76,528,16.35316,16.310793,2305843042994745890,40341,8
77,550,20.379541,17.744732,39636479147771577,4006,3825
78,524,22.438227,19.062134,39089837524938795,83365,4864
79,510,17.637556,28.338373,39628180570505297,24511,4984
80,515,11.980753,23.161146,39627613248951537,1585,3042
81,518,12.248627,24.26855,39633407642174630,20633,4957
82,543,12.821856,25.260466,39633217094945591,25441,478
83,497,21.516212,18.26967,39628529817619890,8510,2284
84,520,13.982512,26.07927,39633135008221274,9797,3765
85,494,13.048298,26.736124,2305843032634706782,41490,1485
86,552,22.414898,25.38513,39089837529152401,83383,2178
87,530,12.488979,20.718735,39627603434276116,25564,3408
88,527,11.522673,19.897976,2305843032294966564,42704,1716
89,558,18.563723,26.878805,39632952006541658,20920,659
90,534,17.562235,16.534971,39627947769859664,3602,3845
91,549,19.867231,26.592997,2305843024682455134,42308,4615
92,543,22.145466,23.479195,39627935002399959,1819,2588
93,545,12.445896,18.364687,39627763560223118,23414,3056
94,522,17.25337,27.121023,2305843035713307580,40524,997
95,531,21.284872,22.630873,39627739203895841,20268,4544
96,528,20.795605,23.693066,39627691443360462,25284,1004
97,515,21.363714,24.607513,39627600368243665,10367,4032
98,536,22.41986,21.817505,39627763648303485,68,4967
99,547,21.284452,21.526522,39632982079706311,1886,4925
100,534,15.516393,17.175182,39633525057522049,20067,672
101,544,15.162454,25.672356,2305843025114301073,42296,4627
102,543,16.184284,26.152578,2305843033507108362,41736,1459
103,524,14.267829,17.216228,39628506375651406,21894,3467
104,487,20.753477,25.67439,2305843031644863047,42854,2346
105,529,18.267155,25.68587,2305843012183275445,41973,4518
106,514,17.254692,25.92738,39633145682727789,25590,2955
107,548,20.022501,24.672312,39633314880946529,1600,2360
108,514,19.26026,25.443966,39627772884159607,21739,1275
109,518,13.6705885,20.21678,39627750700486347,27824,2463
110,520,12.777109,19.50203,39632991630133035,22298,3567
111,542,19.239437,18.204756,2305843014867620312,40961,3038
112,568,14.43024,19.363283,39627950819120679,8375,4325
113,523,13.715002,18.463488,2305843030466239453,42570,53
114,517,20.148981,19.014355,2305843047461554350,42807,732
115,566,13.289162,22.71987,39632941025855828,22731,786
116,529,21.069944,19.46417,39632961758301922,23870,1640
117,522,21.02816,20.435772,2305843030596274961,40871,1052
118,532,16.530146,17.670084,39628182093039650,21771,4942
119,553,13.454858,23.812286,39627767758719630,27782,3105
120,518,18.690884,17.235998,39633378403683178,20785,2129
121,532,17.699387,17.721941,39627730169366663,20539,699
122,524,13.348407,21.447035,2781662412800000,21896,360
123,532,14.054297,24.88233,2305843047088260810,42754,325
124,23820,17.278017,21.889229,39627700427556463,23281,1650
125,518,14.971456,18.230015,2305843042029946552,42903,578
