cluster,size,cx,cy,targetid,tileid,fiber
0,583,-3.2270098,-19.021616,39627835509311463,8771,4867
1,579,-2.4891968,-13.198066,39628453670030623,11781,2507
2,572,11.878094,-17.341398,39633132424529127,20890,1875
3,573,-3.4446874,-16.730473,39628102782943926,21025,1000
4,540,-2.4248106,-20.609474,39627784879872539,20147,2961
5,569,-1.0016664,-12.270592,39627703002860464,20262,3676
6,566,2.696456,-24.608665,39628527724664161,21209,1954
7,546,-1.4439256,-22.191452,39633010760353320,9972,3959
8,566,-2.729067,-15.233494,2305843034404698820,41520,4493
9,575,11.953213,-15.7115135,39627836188790654,25834,4942
10,559,-0.11145597,-23.381144,39628170856500134,1385,4817
11,561,2.5346377,-9.865359,39627736905422959,80629,3292
12,544,9.166934,-10.55188,39627763660882646,4636,4637
13,560,0.9758344,-9.633987,39633524566786805,25997,1816
14,567,10.354437,-12.089369,39628061359997730,8251,4994
15,570,1.3656752,-23.786123,39628209490231893,22948,3291
16,545,5.5305705,-9.265744,39627763161761554,10375,4602
17,537,4.6799655,-24.8511,39627624384826093,21556,3202
18,543,12.006105,-18.79058,39628194000672530,10792,1037
19,568,11.254201,-21.201443,39633447966213655,80619,1727
20,542,7.3908596,-9.532167,39632951276734464,3725,3542
21,551,3.9393349,-9.066898,39632939952113029,80873,2458
22,571,11.606576,-13.804038,39627752134938477,228,4715
23,521,-2.3034275,-17.890501,39633058814492990,24334,3592
24,538,4.971813,-10.918023,39627837107342924,23265,3949
25,520,6.3794827,-24.58315,39628069048158038,10186,4107
26,550,-0.2459509,-10.876846,39633317720493859,22507,3949
27,551,6.3556347,-10.758466,39628250883822504,8476,4077
28,530,10.933993,-19.701523,39628169434632313,20448,1305
29,588,-0.46769783,-13.703317,39633126653167391,25097,1757
30,561,1.6290461,-11.215068,39627927414901087,20256,4326
31,509,-1.4969678,-19.370064,39627805490678285,4121,4783
32,538,8.907841,-12.368501,39627527450264473,23068,2173
33,505,2.9966335,-11.632086,2305843031024247839,41243,3117
34,526,3.8076115,-10.817482,39627730051931120,24700,540
35,511,7.854014,-23.889996,39628286816424999,26289,4467
36,527,-1.4588978,-14.496472,39628346618806330,21775,750
37,529,10.109741,-13.592039,39627760498385306,25946,1364
38,523,7.7987714,-11.275142,39627636422481214,26242,1413
39,516,0.09230785,-14.915959,39627709726330476,8927,4919
40,491,-0.86597097,-15.639836,39628384250105000,23632,3871
41,516,-1.7244092,-16.560314,39628174543296211,2356,884
42,488,5.4825196,-23.562012,39632961875740730,392,1312
43,516,2.690347,-23.049955,39627920930504851,22674,515
44,491,9.784389,-20.216125,39633219645082709,24065,1447
45,482,9.459211,-23.233236,39627568143404547,8976,3767
46,508,5.616764,-12.052148,39633483840095147,23160,2782
47,595,2.1788733,-12.5527,39627980862916172,24202,4927
48,518,10.651308,-15.175762,39627781406983376,20277,1509
49,587,4.415164,-12.28766,39628240205125365,2996,2413
50,479,3.951873,-23.762722,39627973778739649,22977,1837
51,502,-0.9314242,-20.849985,39627727585673274,4717,101
52,466,10.512732,-18.227318,39632991730794719,397,3035
53,487,0.75133663,-13.418515,39633144135026610,21943,3064
54,579,0.6695095,-12.250411,39627773387474586,23814,890
55,504,10.690244,-16.713223,39628340511901179,9998,1117
56,467,9.837871,-21.768019,39627491668658342,21444,4498
57,499,1.9634022,-13.63849,39628295892898248,21081,1731
58,486,6.8977346,-23.070986,39628170789394168,10775,2100
59,483,8.734391,-13.73269,39628448481677417,22966,1533
60,471,7.765574,-12.863546,39633272103239959,24049,1686
61,486,6.8280997,-12.169002,39633507114290025,24425,3881
62,527,0.22144416,-22.026817,39627580717929294,22233,4608
63,568,0.23209088,-20.525818,39633485844974059,20026,2493
64,528,-0.96640223,-18.138649,39628244361676347,22069,2743
65,531,-0.54261297,-17.060715,39627714537196302,5652,1506
66,512,9.590302,-18.97576,39633192579237702,22453,340
67,497,9.410825,-14.760467,39633411328970331,561,4654
68,500,6.1332865,-13.26006,39633143854009888,24106,2323
69,499,9.658859,-17.386225,39628001066881675,2274,4415
70,530,3.454167,-12.844175,39633453855017359,420,4212
71,524,6.2626233,-22.415588,39627809362022972,3272,4496
72,508,9.603674,-16.02045,39628060927986531,8491,2284
73,515,3.752197,-22.54978,39627706710623297,23843,1492
74,461,4.70757,-22.666712,39633091077080930,5283,1742
75,515,4.189347,-13.765504,1070089893838858,74,4508
76,511,8.816804,-16.6569,39633005932710463,21195,1211
77,529,1.2264806,-15.4981,39628195732917653,8515,4755
78,526,1.3005401,-14.491757,39627978019176700,24159,602
79,475,1.590678,-22.435421,39627769402889898,1268,3898
80,479,0.51981086,-17.057579,39628412804927266,20910,318
81,463,0.41597006,-16.141943,39628483852241651,80611,1514
82,541,5.1712546,-13.324108,39633216050563112,80658,1850
83,458,3.1573687,-21.855429,39627550313417212,23303,4827
84,502,3.0157955,-13.807882,39627949716016931,26068,3345
85,525,7.26139,-13.943244,39633231791787233,25631,3097
86,510,7.563063,-21.793093,39633292621775759,20949,1248
87,475,8.346712,-22.371706,39628169526904717,9262,4755
88,473,8.498111,-15.57835,39627651748465974,25236,825
89,480,8.913207,-18.159748,39089837499753116,83300,3573
90,471,-0.33907673,-19.312674,39627603916624102,20545,2471
91,492,7.9195166,-14.680485,39627721449408587,6274,1105
92,557,4.816984,-14.494065,39627609927062756,9369,86
93,455,2.2847276,-21.517464,39628261570908792,20451,315
94,563,2.3542314,-15.682659,39633033908718953,1382,4433
