cluster,size,cx,cy,targetid,tileid,fiber
0,595,17.55802,5.960481,39633090573763113,21948,4919
1,582,33.922028,1.4025518,2305843039051972826,41114,3678
2,585,23.775858,-1.601403,39633005605555029,24348,1597
3,571,18.703106,2.1347191,2305843042982040315,40339,4076
4,591,25.73304,16.164785,39627875673970344,10556,4085
5,578,35.608845,6.946461,39627997858239138,26202,4588
6,563,18.151592,7.742569,39627803091539057,25748,3814
7,565,32.234997,14.257427,39632956884518941,20923,1134
8,576,27.875053,16.13081,2305843020257300496,42489,3267
9,575,20.509247,0.39231235,39628033476265369,24499,501
10,588,17.871729,9.738385,2305843034975111945,42427,608
11,544,21.383848,14.230443,2305843018441162935,40464,327
12,582,27.677418,-1.6331828,39633413291903536,22902,1755
13,575,34.812023,3.48908,39633441100139511,23157,363
14,566,29.503386,-1.1928307,39628323038429581,22963,2626
15,555,30.229698,15.28545,39627634627316969,3247,3645
16,580,18.03923,4.0125713,2780872369504258,20533,2179
17,557,19.861317,12.928036,39628485961977009,20003,176
18,559,25.798435,-1.7011418,2305843028750768200,42054,348
19,561,35.346245,8.908177,39633424222260599,80720,131
20,561,34.764767,11.04295,2781191086276621,23945,3283
21,573,21.968632,-0.59704715,2305843036413763272,40234,2253
22,580,35.091278,5.25236,39628204163465950,25172,1229
23,570,23.473997,15.586531,2305843031237998638,42866,677
24,590,31.44381,-0.7376447,2390029712228353,23492,544
25,571,33.601475,12.676384,2305843017606508035,42656,2800
26,580,19.427916,4.962344,39627939087648290,4256,464
27,589,19.10455,11.162971,39633263026767687,5074,4795
28,566,23.46026,0.14851882,39089837503942369,83318,4979
29,564,32.179188,0.96845627,2786521413320704,25663,4760
30,564,19.481157,9.052563,2781490228232207,25805,1942
31,564,24.919527,14.641094,2305843031720369379,41294,1116
32,551,22.993732,13.966262,2305843028109039024,42258,7
33,539,25.021847,-0.14124948,39627586514455348,80633,196
34,547,28.68724,14.616742,39633054368533326,22309,503
35,570,20.546274,10.036617,39633456287712695,417,1682
36,554,19.452269,6.4236917,2305843033234528387,40932,3108
37,555,31.94512,12.5562725,39628034034108878,22010,2603
38,571,30.512724,0.68628544,2305843029769981520,42585,3828
39,546,26.526453,-0.08251242,39627679661556083,20081,1728
40,559,27.876198,0.07071099,39628353656850829,20305,3032
41,562,30.597889,13.665334,39627697592206359,20120,1191
42,557,33.879818,9.641189,39633434980647073,80726,2492
43,544,20.07165,3.623033,39627770002670556,25289,3138
44,548,22.180105,1.3451909,39628153043291649,5901,4748
45,547,33.427242,4.8314605,39628403803948346,20799,1924
46,580,21.677221,12.437141,39633225391277668,25594,4505
47,555,34.0468,7.759361,39627702742810797,21555,3450
48,553,23.053347,12.455299,2305843034417330379,41520,2574
49,550,29.203367,0.55635417,39628309394360573,21279,4796
50,564,33.863182,6.4090157,2305843032240443631,42746,1550
51,525,26.076231,13.712338,2305843030931803362,41378,2385
52,548,26.967587,14.707671,39633207917808484,80729,424
53,534,20.843737,11.350198,39627839472935921,25746,3878
54,504,26.199598,1.2461894,2305843012195847192,40718,4041
55,525,27.352835,1.4917418,2305843017136738486,42670,2666
56,544,24.906265,1.2467388,39627793696294789,80661,1889
57,511,29.26603,13.25031,39628441137452541,80617,2142
58,527,33.332016,3.1142302,39628471235775502,22350,4668
59,554,21.066797,8.71205,39627583171592394,10980,496
60,536,25.437943,12.614561,39628525262602523,26261,3558
61,555,24.306534,13.289463,39632950974743346,24304,2541
62,521,19.948713,7.7486525,39627902941135868,8360,4369
63,561,21.039337,4.706465,39627743226233431,25377,4962
64,533,20.840916,5.9924273,39628063452956336,24656,2596
65,535,27.82869,13.436348,39628481767674550,1431,3293
66,518,30.562567,12.229422,39628192423609361,3064,4105
67,542,33.037155,11.081299,2305843029296033795,42008,4320
68,548,32.657036,6.0223536,2305843036384397595,40221,1776
69,533,23.623573,1.5807469,39627851359591593,5173,1686
70,542,22.240108,7.9505873,39627773299397586,80669,4506
71,543,21.139538,7.2089458,39628291262382380,20422,3460
72,525,31.088663,3.349341,2305843029874841192,42581,4609
73,531,32.083836,2.4031694,39633441142082822,24720,1304
74,535,32.27975,3.944287,39633419763714880,543,3411
75,511,20.44962,2.0265384,2305843028801102627,42071,2636
76,550,22.20883,9.309976,2305843011835134141,41948,3012
77,535,22.176226,3.9729853,2305843047155377968,42757,4480
78,540,21.52556,2.8833733,39633415896567213,80720,94
79,556,32.47805,7.407913,39627672950674770,21837,3499
80,534,32.99693,8.5395355,39627771915281257,25536,137
81,517,31.456964,6.866084,39628496326099404,10723,4575
82,517,31.16875,5.884331,2305843051844607260,41753,2007
83,504,31.801977,5.03994,2305843033234504547,40932,3049
84,540,23.770317,3.5951333,39628159125033213,21963,507
85,525,22.908163,2.716094,39627887720008212,24167,1811
86,535,22.295582,6.6178102,39632996784931906,20903,4549
87,539,22.216862,5.5217595,39627715069874177,2839,409
88,541,22.063604,10.493936,39633300452542631,9423,2405
89,552,27.957472,2.775364,39628444857799447,21985,2761
90,507,28.570581,1.666099,39633244773156902,20755,619
91,534,30.665625,2.0679479,39628224832997070,24125,4870
92,522,29.57999,2.2956011,2305843038070510098,43057,3493
93,548,30.707619,4.6743765,39627849144996622,1252,4683
94,547,30.013733,3.7769783,39628058956664744,24912,4875
95,523,29.054598,3.3329654,39627624091227331,80647,1879
96,505,26.806955,12.616659,39627744836847292,23088,1261
97,525,31.582975,11.198377,39627568755776014,25366,2219
98,505,25.873196,2.3879917,39627842295698994,22680,1021
99,533,30.58926,9.139327,39628493796938137,24412,1121
100,510,30.979757,10.131479,2305843036388599172,40221,1724
101,546,28.621138,10.862307,2305843052071130641,41758,4517
102,500,29.201633,11.924492,2305843015823946902,42439,4143
103,534,24.29939,11.832581,39628357175872600,21112,1713
104,552,23.38334,8.449048,39632966879543765,399,1063
105,531,28.10355,12.232396,2305843033758792854,40888,2352
106,539,24.52041,2.640852,39628176346843388,10579,494
107,552,26.83322,2.8794887,2305843018277597866,40470,778
108,546,23.146564,4.7027245,39628093920382976,22646,1751
109,539,22.947039,11.194568,2305843036464098500,40228,1037
110,506,24.116573,5.4080524,39633430652129165,560,2018
111,498,23.502348,6.1708965,39628380051607448,25123,4709
112,537,23.484426,9.571097,39627733680000546,20589,1759
113,527,29.665958,10.140754,39627784175228335,8090,3344
114,524,30.08762,11.100836,2305843035205804638,41555,1862
115,527,27.477667,11.282777,39627438275166599,21732,2863
116,496,26.41055,11.569413,39632999846776464,25677,1660
117,533,31.19709,7.984175,39633328139141369,27227,4372
118,579,25.308746,11.23104,39627688444432146,20175,462
119,496,31.810255,8.8973465,2305843017686205832,42618,1713
120,499,32.321507,9.908852,2305843020211160937,42487,3186
121,534,23.384378,7.294891,2305843047109239020,42754,1636
122,521,25.39403,3.4342337,39627934926900931,4975,4598
123,532,24.021963,10.530441,2305843041803522846,42920,4322
124,24511,27.342882,7.224777,39633260136891834,20778,4335
125,527,24.642872,4.443597,39628054426814366,25557,3739
