TILEID,SURVEY,PROGRAM,FAPRGRM,NEXP,EXPTIME_TOTAL,AIRMASS_MEAN,SEEING_ETC_MEAN,SEEING_GFA_MEAN,TRANSPARENCY_GFA_MEAN,SKY_MAG_AB_GFA_MEAN,SKY_MAG_G_SPEC_MEAN,SKY_MAG_R_SPEC_MEAN,SKY_MAG_Z_SPEC_MEAN,EBV_MEAN
43035,main,backup,backup,1,603.877930,1.173541,1.951589,1.721694,0.644937,21.197753,21.966016,21.009466,19.655825,0.033524
43036,main,backup,backup,4,1884.067024,1.215552,2.061370,2.208506,0.568362,20.337458,21.130983,20.261723,18.783417,0.017505
43037,main,backup,backup,3,1360.541489,1.186937,1.818300,1.128799,0.692424,19.085498,20.208607,19.691766,18.751269,0.029947
43038,main,backup,backup,1,607.086670,1.221477,1.038410,1.044233,0.786367,18.578138,18.758744,18.546887,18.151538,0.023117
43039,main,backup,backup,4,2413.977112,1.190714,2.969565,2.826719,0.699134,20.574739,21.341849,20.498160,19.002730,0.043724
43040,main,backup,backup,1,399.834686,1.218775,1.405015,1.259185,0.939444,19.514615,19.669998,19.417929,18.621794,0.036205
43041,main,backup,backup,3,1586.567139,1.100184,1.599509,1.737324,0.666389,19.652637,20.084118,19.622313,18.629926,0.042302
43042,main,backup,backup,1,358.375519,1.072337,1.511904,1.283969,0.919326,19.656757,19.010254,19.585892,18.782792,0.028901
43043,main,backup,backup,2,851.903351,1.057863,1.448774,1.398477,0.914929,18.917523,18.793672,18.924644,18.662152,0.025324
43045,main,backup,backup,2,683.771347,1.219960,1.976100,1.779921,0.999793,20.813382,21.259306,20.592282,19.001547,0.030397
43048,main,backup,backup,2,817.084854,1.234587,1.955737,1.958706,0.912887,20.465234,20.846974,20.316034,19.078635,0.033515
43050,main,backup,backup,1,561.294189,1.110485,1.215734,1.199092,0.795909,19.543424,19.876272,19.448973,18.692533,0.044574
43051,main,backup,backup,1,392.031433,1.135333,1.329886,1.363367,0.842730,20.623940,21.027877,20.490740,18.837781,0.030459
43052,main,backup,backup,1,384.096863,1.114362,0.835116,0.808787,0.871930,18.741587,18.818488,18.708299,18.386126,0.046077
43053,main,backup,backup,2,800.025085,1.087468,2.154398,1.907248,0.975585,20.509775,20.923526,20.396245,19.099197,0.052777
43054,main,backup,backup,2,1209.477173,1.085118,1.254908,1.123033,0.199016,20.813907,21.690098,20.757822,19.273457,0.031754
43055,main,backup,backup,3,1344.938309,1.062340,2.025357,1.882626,0.913743,19.317399,19.201492,19.307709,18.871622,0.026826
43056,main,backup,backup,1,433.015961,1.068873,1.469250,1.214668,0.571921,20.910987,21.708182,20.712253,18.975745,0.044171
43057,main,backup,backup,1,206.018021,1.136786,1.423860,1.145302,0.977334,20.524726,20.290318,20.283358,18.976835,0.025217
43058,main,backup,backup,2,1203.823853,1.269743,1.251667,1.167269,0.468912,19.572174,20.240631,19.601448,18.749777,0.024762
43059,main,backup,backup,1,370.013397,1.167005,1.311098,1.322567,0.671055,21.159053,21.948719,20.999980,19.676598,0.031959
43060,main,backup,backup,2,1206.293945,1.203523,1.294981,1.246276,0.470086,19.240743,19.063972,19.206809,18.304476,0.047907
