cluster,size,cx,cy,targetid,tileid,fiber
0,600,-34.400486,-5.6163745,39627938584332420,22693,1310
1,574,-24.202143,-8.119871,2305843038468972960,42405,2450
2,573,-30.71181,-8.4296465,39627909647829284,23552,3981
3,581,-18.48192,2.2744412,39633192168196857,22333,3497
4,586,-20.205902,5.970174,2305843035847528130,41574,1853
5,565,-36.217144,-1.3446562,2305843042159959313,40241,1590
6,582,-21.535975,7.468707,2305843019435214671,41880,4510
7,583,-35.555668,-3.7703419,39627604344445058,5877,4161
8,578,-18.31154,0.21792735,39627474170019941,23015,1803
9,567,-35.99232,0.55379677,39632980808829894,23488,998
10,562,-18.722275,-1.5820978,39627926269858162,10857,1723
11,595,-19.235645,-3.6720538,39628478449977826,9604,4613
12,561,-28.101547,9.318503,2305843032185904085,40067,4758
13,593,-31.683104,8.092308,39628480651985346,2956,3379
14,603,-22.258005,-7.2284403,39633455859892288,21620,1170
15,557,-28.432238,-8.70047,39627670966765053,23006,1143
16,574,-34.69453,5.4963007,39628211348311282,1385,3705
17,569,-19.175066,4.163552,39627848859779119,1100,4401
18,588,-26.254562,-8.775904,39633529297961903,21322,1259
19,556,-32.705627,-7.032476,39627712029002955,22107,4947
20,592,-20.94839,-5.382048,2305843019623960174,41877,3500
21,561,-29.321346,-7.2141867,39633353044919345,23879,34
22,580,-26.061583,9.712333,39632930691091403,3736,3959
23,572,-24.133276,8.853901,39628152615473847,9916,141
24,570,-30.323095,9.136041,2305843034291499416,41513,1013
25,561,-33.302227,7.073995,39627851648997140,23853,4102
26,557,-36.239147,2.4288778,39627574590054552,20671,4964
27,550,-35.028873,3.645047,39628517360537803,21181,769
28,563,-19.968367,1.1499763,39627784628210789,22113,1127
29,558,-34.688477,-2.295447,39627772489894405,23673,1431
30,558,-23.179718,7.398647,39627969802543212,2986,2201
31,568,-20.467424,-2.1089318,39627820678251714,25970,1320
32,541,-31.072847,-6.6360264,39633059342978073,24050,382
33,549,-32.913357,5.414013,2305843014364300271,42728,1883
34,552,-25.637468,-7.0667915,39627785391577526,23802,2562
35,577,-26.003603,8.05061,39632934650512092,27432,4046
36,557,-27.31924,-7.3023834,39632929625737851,2376,2960
37,553,-20.256626,2.7810805,2305843019489748841,41880,3621
38,573,-32.63512,-5.3693743,39633441221773668,419,4925
39,560,-20.931133,4.3861604,39627592432625222,25398,1212
40,547,-22.526184,-4.3458,39628174543296211,2356,884
41,562,-33.858627,-3.8577907,39633290063252461,20788,2345
42,570,-30.276384,6.939033,39632976790686402,9557,299
43,562,-29.209797,7.919573,39628522943155430,24945,4644
44,555,-24.185053,-6.367466,2305843011172471134,41866,4892
45,574,-22.048386,5.7828107,39633522742264012,21321,1672
46,567,-28.254793,-6.181155,39628035422423981,23561,3187
47,541,-20.940088,-3.645564,39633492140625432,24716,2352
48,564,-34.736996,-0.56555015,39627859718837946,10,2504
49,562,-27.56011,7.7641325,39627673273633309,23716,4446
50,571,-31.653606,6.3673882,39633419239424091,21621,4657
51,555,-23.62803,5.9798656,39627909228401815,8936,4254
52,547,-22.848639,-5.66643,39627491442167805,7975,2987
53,577,-20.037552,-0.42160156,39628157912879152,25148,318
54,554,-26.659641,-5.9669323,2305843017069627543,41654,1853
55,563,-21.803608,3.218929,39633260229168848,25470,3996
56,552,-21.440268,1.8901424,2305843037852416431,43032,3385
57,523,-21.435585,0.70096475,2305843020936780536,41611,995
58,542,-29.82269,-5.7911763,39633203920637401,1627,4021
59,545,-21.392555,-0.6536556,39633192109474177,20771,4901
