cluster,size,cx,cy,targetid,tileid,fiber
0,542,-10.163504,-1.8859745,39632965835162861,23485,3246
1,585,-8.1029005,-1.8994474,39628046742852912,7389,3963
2,554,-4.7632236,-0.8382425,39633299978586223,20948,4946
3,551,-2.7943997,11.0182085,39628523370976760,8161,2454
4,499,-11.930105,12.88429,39627575122726157,26272,4292
5,502,-0.76846087,3.937583,39627696505883215,21542,1212
6,546,-0.84560215,6.266689,39627761458876572,25381,4184
7,515,-11.830384,-1.2936493,39627667179310514,20575,1093
8,523,-16.75781,5.366229,39628307943130715,20408,1240
9,496,-1.2910923,7.93881,39628147599084856,1386,4265
10,473,-14.9528475,10.418066,39628063276796412,10227,1501
11,483,-2.0483377,5.286331,39633432879302791,24714,2505
12,476,-8.355044,13.6045,39633169678336165,3516,352
13,523,-3.1190214,0.79644305,39628356555115692,23490,1048
14,510,-16.617271,7.2964735,39627700196871878,1546,4166
15,504,-10.18485,13.289952,39628399878080653,3927,3477
16,486,-1.6608087,2.0761924,39627760078953898,23949,1242
17,483,-6.275779,13.33416,39633443218261651,25342,3871
18,486,-4.3423004,12.097873,39627948092817759,20704,1243
19,505,-13.820085,11.8464775,39628227102116891,1465,2572
20,571,-16.26896,3.6542952,39632966418173071,192,1513
21,488,-6.3721266,-1.1222816,39628198832505317,11460,3478
22,520,-13.425834,-0.5527362,39633178645759657,4520,4260
23,559,-7.3198056,12.36108,2305843019993063741,42380,4131
24,551,-2.210603,9.3674,39633358237469489,20964,1637
25,548,-15.51256,1.9874473,39628082549621054,23367,973
26,540,-14.439248,0.87669253,39627718144295286,25240,731
27,482,-15.816484,8.985595,39628387316139355,25499,4605
28,472,-3.6819112,9.535234,39628170487399290,4333,4592
29,483,-4.318789,10.560992,39628122684916965,25197,4912
30,531,-12.212642,11.435893,39627687970474667,7798,4618
31,563,-2.9483557,7.9385495,39633482925740490,26003,1148
32,507,-2.3011544,3.7910519,39628100421553821,4351,4075
33,533,-3.1710358,2.535349,39627863804091246,7957,3096
34,513,-9.060751,12.322062,2305843013303195881,42995,4788
35,545,-5.6731663,11.812306,39628021933541290,24644,4291
36,486,-4.6572943,0.7022799,39628151709503249,1497,614
37,493,-2.4933462,6.727401,39627507950948722,21874,88
38,518,-13.195067,10.523734,39627618823177129,1264,3660
39,494,-10.713267,11.903853,39633127085179295,25884,1724
40,524,-10.63616,-0.3562618,39633408258736580,20043,4685
41,479,-4.0986958,8.415315,39089837508137029,83335,4786
42,489,-7.6143403,-0.32600364,39628152997155044,23333,569
43,486,-7.036221,0.85135156,39628337169041160,23454,3413
44,513,-5.9960065,0.48899004,39633184253543323,25593,2711
45,513,-4.3953266,2.0118039,39627778970094075,2065,762
46,538,-3.8761218,6.8195276,39627768996041708,21519,1761
47,482,-15.203279,7.7473993,39627790588319899,22108,4731
48,557,-11.92545,0.286438,39632950999910851,22736,3483
49,501,-4.292473,3.438081,39628117123270795,11472,187
50,541,-3.571499,4.3605537,39627793012622471,4093,3475
51,530,-5.2373996,9.30112,39627898897826318,6520,3647
52,478,-5.561873,10.452349,39633425325363340,20507,3309
53,483,-9.120078,-0.7661482,39633485073221315,26003,1136
54,516,-3.3199642,5.5197163,39633204629472965,25472,3855
55,580,-5.327145,3.0913208,39628070155452740,2080,1457
56,532,-5.760282,1.7894996,39633361987176487,25297,989
57,488,-14.860255,3.2476773,39627574606824661,23813,3941
58,561,-9.59722,11.183868,2305843038343141531,41119,2089
59,499,-4.393118,5.8962417,39628052816202652,20226,1167
60,500,-4.7744803,7.337627,39628540110438879,20002,2985
61,569,-5.3786874,8.180375,39627829767309490,7742,792
62,512,-11.864413,9.967086,39627676981397405,23006,1601
63,496,-8.742661,10.346473,39633358765949746,25297,890
64,511,-8.08671,11.380891,39633231783396004,22489,3314
65,516,-15.25922,4.670163,39628234056271677,2796,4577
66,484,-15.6308,6.20573,39627679237936712,20575,1179
67,510,-6.757939,11.072857,39632965772249641,21911,899
68,486,-13.934146,2.2564468,39627779154648640,23842,1455
69,524,-13.0994,0.9925989,39628370744446095,24416,3561
70,517,-14.115476,8.24092,39627778093482317,9639,265
71,509,-14.227196,9.325199,39628063566205670,7757,872
72,524,-4.745035,4.624243,39627935275028357,24399,1296
73,493,-14.540969,5.5015283,39633053005385596,2940,218
74,465,-6.493722,8.940972,39627409779070731,26144,209
75,472,-6.666014,9.791865,39627619150334572,1572,3907
76,531,-11.095279,1.3167224,39633410452358514,25307,1684
77,487,-10.257423,0.7656717,39627808514776971,1010,1571
78,539,-9.108007,0.45665184,39627473985472757,24600,304
79,497,-8.293863,1.0131426,39633300452542631,9423,2405
80,531,-5.693916,4.3453445,39627568915152929,2437,946
81,486,-14.108612,4.027325,39627874554089196,20832,1849
82,491,-13.398368,3.3955984,2305843013999397015,40966,1047
83,508,-7.482348,1.904344,39628169115864801,7235,3039
84,545,-8.306249,9.293735,39633447894909737,26045,3922
85,493,-7.675677,10.133625,39628465447635037,22764,4550
86,487,-10.279398,10.35886,39627895966011706,21562,2171
